date,product_id,product_category,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days
27-06-2022,P006,Electronics,,10225.02,203,79,0,0,0,6,13
14-06-2023,P028,Apparel,,1137.33,108,51,0,0,2,6,8
20-06-2022,P005,Electronics,,8245.58,274,72,0,0,0,6,9
06-03-2022,P039,Home,,2657.76,179,43,0,0,6,3,12
01-05-2022,P015,Electronics,,12117.51,205,52,0,0,6,5,8
28-05-2023,P009,Apparel,,3375.71,128,43,0,0,6,5,2
10-11-2022,P034,Sports,,2396.88,116,52,0,0,3,11,2
01-12-2023,P002,Sports,,5729.01,68,55,0,0,4,12,9
08-10-2022,P012,Sports,,4988.18,309,78,0,0,5,10,6
30-07-2023,P046,Home,,959.05,77,56,0,0,6,7,2
16-02-2023,P042,Apparel,,1153.28,76,31,0,0,3,2,8
28-03-2022,P017,Electronics,,19228.9,193,59,0,0,0,3,7
06-12-2022,P027,Electronics,,11438.1,130,62,0,0,1,12,14
06-12-2023,P045,Electronics,,16283.41,45,21,0,0,2,12,13
17-05-2022,P031,Apparel,,707.17,94,47,0,0,1,5,13
03-11-2023,P039,Home,,2587.22,125,43,0,0,4,11,12
28-03-2023,P015,Electronics,,12054.77,157,52,0,0,1,3,8
28-11-2023,P047,Electronics,,164213.6,25,21,0,0,1,11,6
23-04-2023,P002,Sports,,5598.14,213,55,0,0,6,4,9
13-07-2023,P003,Home,,48014.3,310,79,0,0,3,7,10
03-11-2022,P001,Electronics,,24664.22,105,45,0,0,3,11,13
02-05-2022,P025,Apparel,,1402.24,174,51,0,0,0,5,5
19-12-2022,P024,Electronics,,2666.57,128,58,0,0,0,12,2
16-12-2022,P025,Apparel,,1350.1,146,51,0,0,4,12,5
16-01-2022,P004,Apparel,,3403.59,51,40,1,59.3,6,1,14
14-01-2023,P039,Home,,2576.15,77,43,1,11.7,5,1,12
22-02-2023,P026,Home,,7530.59,122,42,0,0,2,2,8
19-05-2022,P020,Electronics,,19460.39,49,45,0,0,3,5,8
04-09-2022,P028,Apparel,,1079.63,182,51,0,0,6,9,8
05-01-2023,P042,Apparel,,1198.95,57,31,0,0,3,1,8
28-10-2022,P006,Electronics,,10393.39,213,79,0,0,4,10,13
27-01-2022,P008,Beauty,,2004.75,27,20,0,0,3,1,10
03-09-2022,P023,Electronics,,2522.15,50,32,0,0,5,9,4
06-03-2023,P035,Sports,,1745.75,142,76,0,0,0,3,5
08-08-2023,P032,Electronics,,7122.81,157,39,0,0,1,8,12
16-02-2022,P001,Electronics,,23579.18,173,45,0,0,2,2,13
23-10-2023,P045,Electronics,,15651.79,36,21,0,0,0,10,13
04-03-2022,P041,Electronics,,18377.36,173,68,0,0,4,3,2
30-05-2023,P048,Apparel,,1879.86,171,51,0,0,1,5,7
29-09-2023,P008,Beauty,,2058.67,30,20,0,0,4,9,10
11-05-2022,P049,Apparel,,1176.08,25,23,0,0,2,5,8
08-05-2022,P005,Electronics,,8204.73,140,72,0,0,6,5,9
02-10-2022,P038,Electronics,,13349.01,112,52,1,60,6,10,4
19-03-2023,P049,Apparel,,1150.07,54,23,0,0,6,3,8
05-03-2023,P039,Home,,2635.2,124,43,0,0,6,3,12
31-08-2023,P037,Electronics,,5944.94,87,46,0,0,3,8,10
11-08-2023,P045,Electronics,,16371.47,66,21,0,0,4,8,13
16-05-2023,P017,Electronics,,19032.78,154,59,0,0,1,5,7
13-08-2023,P009,Apparel,,3458.23,88,43,0,0,6,8,2
12-03-2022,P003,Home,,4758.33,169,79,0,0,5,3,10
12-09-2022,P040,Apparel,,1379.78,-153,51,0,0,0,9,9
04-08-2022,P045,Electronics,,15613.9,78,21,0,0,3,8,13
03-07-2023,P038,Electronics,,13530.08,72,52,0,0,0,7,4
01-09-2023,P025,Apparel,,1359.08,149,51,0,0,4,9,5
10-01-2022,P003,Home,,4724.53,363,79,0,0,0,1,10
04-09-2022,P019,Apparel,,793.7,81,33,0,0,6,9,4
04-11-2022,P048,Apparel,,1916.71,61,51,0,0,4,11,7
08-02-2023,P049,Apparel,,1159.77,48,23,0,0,2,2,8
06-12-2023,P029,Apparel,,1267.02,71,41,0,0,2,12,13
20-03-2022,P013,Beauty,,2352.94,217,77,0,0,6,3,10
01-03-2023,P005,Electronics,,8221.9,198,72,0,0,2,3,9
29-12-2022,P034,Sports,,2502.4,73,52,0,0,3,12,2
30-06-2022,P023,Electronics,,2574.93,124,32,0,0,3,6,4
24-09-2022,P038,Electronics,,13456.45,189,52,0,0,5,9,4
09-08-2023,P017,Electronics,,18576.61,230,59,0,0,2,8,7
01-07-2022,P040,Apparel,,1411.75,204,51,0,0,4,7,9
12-02-2023,P037,Electronics,,5921.48,168,46,0,0,6,2,10
27-04-2022,P002,Sports,,5732.97,109,55,0,0,2,4,9
11-02-2022,P036,Beauty,,991.37,67,22,0,0,4,2,8
04-04-2022,P001,Electronics,,24933.28,69,45,0,0,0,4,13
11-08-2023,P020,Electronics,,19360.04,86,45,0,0,4,8,8
04-02-2022,P041,Electronics,,18293.29,234,68,0,0,4,2,2
05-12-2023,P011,Electronics,,6650.78,49,27,0,0,1,12,4
12-11-2023,P011,Electronics,,6384.91,70,27,1,17,6,11,4
16-08-2022,P032,Electronics,,6927.84,137,39,0,0,1,8,12
13-08-2022,P012,Sports,,4879.24,266,78,0,0,5,8,6
14-04-2023,P048,Apparel,,1900.83,142,51,0,0,4,4,7
31-10-2022,P029,Apparel,,1327.38,64,41,0,0,0,10,13
29-04-2023,P042,Apparel,,1158.3,62,31,0,0,5,4,8
29-03-2023,P023,Electronics,,2574.95,98,32,0,0,2,3,4
22-01-2023,P036,Beauty,,999.49,5,22,0,0,6,1,8
08-05-2023,P008,Beauty,,2036.5,64,20,0,0,0,5,10
15-09-2023,P049,Apparel,,1171.94,35,23,0,0,4,9,8
02-01-2023,P020,Electronics,,19771.09,119,45,0,0,0,1,8
02-10-2023,P021,Apparel,,2776.12,150,58,0,0,0,10,12
08-08-2023,P050,Electronics,,19636.04,204,78,0,0,1,8,2
22-08-2022,P027,Electronics,,11658.45,115,62,0,0,0,8,14
06-11-2023,P026,Home,,7200.73,101,42,0,0,0,11,8
25-01-2023,P001,Electronics,,23788.35,165,45,0,0,2,1,13
01-05-2022,P042,Apparel,,1193.58,65,31,0,0,6,5,8
07-08-2023,P014,Electronics,,225219.5,75,28,0,0,0,8,9
20-09-2023,P045,Electronics,,15723.88,42,21,0,0,2,9,13
02-11-2023,P042,Apparel,,1211.81,127,31,0,0,3,11,8
12-10-2022,P028,Apparel,,1136.51,85,51,0,0,2,10,8
09-09-2023,P049,Apparel,,1169.94,38,23,0,0,5,9,8
04-12-2022,P021,Apparel,,27370.5,217,58,0,0,6,12,12
02-04-2022,P024,Electronics,,2801.11,169,58,0,0,5,4,2
05-09-2022,P035,Sports,,1774.41,183,76,0,0,0,9,5
08-01-2023,P014,Electronics,,22423.98,81,28,0,0,6,1,9
06-12-2022,P020,Electronics,,19927.06,147,45,0,0,1,12,8
20-11-2022,P044,Sports,,2049.12,83,36,0,0,6,11,12
29-06-2022,P004,Apparel,,3301.37,114,40,0,0,2,6,14
24-06-2022,P005,Electronics,,8206.35,225,72,0,0,4,6,9
28-07-2023,P001,Electronics,,23690.83,59,45,0,0,4,7,13
24-03-2022,P006,Electronics,,9963.26,122,79,0,0,3,3,13
27-05-2023,P021,Apparel,,2791.02,264,58,0,0,5,5,12
04-06-2022,P014,Electronics,,23608.04,35,28,0,0,5,6,9
10-11-2023,P038,Electronics,,12917.41,195,52,0,0,4,11,4
02-04-2023,P005,Electronics,,8325.11,103,72,0,0,6,4,9
18-01-2022,P027,Electronics,,11400.2,216,62,0,0,1,1,14
20-02-2023,P001,Electronics,,23967.53,53,45,0,0,0,2,13
16-12-2023,P038,Electronics,,12960.62,164,52,0,0,5,12,4
07-05-2022,P037,Electronics,,5942.3,194,46,0,0,5,5,10
20-11-2022,P012,Sports,,4990.81,95,78,0,0,6,11,6
06-08-2023,P034,Sports,,25298.2,231,52,0,0,6,8,2
25-07-2022,P033,Electronics,,9546.61,257,74,0,0,0,7,13
27-10-2023,P048,Apparel,,19051.5,175,51,0,0,4,10,7
14-08-2022,P048,Apparel,,1880.07,114,51,0,0,6,8,7
25-09-2022,P019,Apparel,,765.88,34,33,0,0,6,9,4
02-04-2023,P006,Electronics,,10247.85,80,79,0,0,6,4,13
13-03-2023,P022,Electronics,,13842.39,38,34,0,0,0,3,11
02-04-2023,P038,Electronics,,13384.87,74,52,0,0,6,4,4
27-11-2023,P038,Electronics,,13508.92,99,52,1,47.3,0,11,4
23-09-2023,P011,Electronics,,6760.7,52,27,0,0,5,9,4
10-06-2023,P035,Sports,,1747.02,303,76,0,0,5,6,5
13-10-2022,P039,Home,,2601.33,78,43,0,0,3,10,12
21-03-2022,P044,Sports,,2018.75,82,36,0,0,0,3,12
17-02-2023,P030,Electronics,,22811.28,100,64,0,0,4,2,10
09-05-2022,P006,Electronics,,10260.67,245,79,0,0,0,5,13
02-12-2022,P001,Electronics,,24045.77,146,45,0,0,4,12,13
07-08-2022,P049,Apparel,,1121.47,33,23,0,0,6,8,8
18-07-2023,P035,Sports,,1738.93,102,76,0,0,1,7,5
06-09-2022,P024,Electronics,,2769.04,148,58,0,0,1,9,2
29-03-2022,P015,Electronics,,12511.35,123,52,0,0,1,3,8
25-05-2023,P040,Apparel,,1395.52,194,51,0,0,3,5,9
09-08-2023,P021,Apparel,,2815.84,86,58,0,0,2,8,12
18-11-2023,P008,Beauty,,1994.98,0,20,0,0,5,11,10
29-06-2022,P008,Beauty,,2031.87,65,20,0,0,2,6,10
12-10-2022,P009,Apparel,,3546.45,139,43,0,0,2,10,2
02-09-2023,P030,Electronics,,23939.04,192,64,0,0,5,9,10
21-07-2022,P022,Electronics,,14404.22,56,34,0,0,3,7,11
20-11-2023,P023,Electronics,,2507.8,55,32,0,0,0,11,4
